channel_id,channel_title,channel_uploads_id,channel_thumbnail,channel_facebook,channel_googleplus,channel_instagram,channel_snapchat,channel_soundcloud,channel_twitter,channel_website
UCAARY8o90LXhaveD58FmEZA,Amika Shail,UUAARY8o90LXhaveD58FmEZA,https://yt3.ggpht.com/-cpPxBTLd9CM/AAAAAAAAAAI/AAAAAAAAAAA/oUp80b6IPF0/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC7KLY9LOG5mKsVoj8DJKeOA,Siddharth Rajpoot,UU7KLY9LOG5mKsVoj8DJKeOA,https://yt3.ggpht.com/-M_h6iSMlN4o/AAAAAAAAAAI/AAAAAAAAAAA/ywXvBBy6Umw/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCmAkJ5mzukCzD1uzMpoaJOg,Audio Wing - Aakash Parmar,UUmAkJ5mzukCzD1uzMpoaJOg,https://yt3.ggpht.com/-zol7i7S2Zmc/AAAAAAAAAAI/AAAAAAAAAAA/PU6vxRDo_dc/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCFF42XrJF6wIeMp0thAOlXQ,Dhaval Kothari,UUFF42XrJF6wIeMp0thAOlXQ,https://yt3.ggpht.com/-BhM2nbHvhKU/AAAAAAAAAAI/AAAAAAAAAAA/93eNWCbKr2Y/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC8Vd57n_AtWvBogvA4W-m_Q,Dhruvit Shah,UU8Vd57n_AtWvBogvA4W-m_Q,https://yt3.ggpht.com/-oGZ2eLgDlWQ/AAAAAAAAAAI/AAAAAAAAAAA/aKrkYIWLNbo/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCzUYuC_9XdUUdrnyLii8WYg,All India Bakchod,UUzUYuC_9XdUUdrnyLii8WYg,https://yt3.ggpht.com/-QSdUl6wilzo/AAAAAAAAAAI/AAAAAAAAAAA/BGrQrNGDA8U/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCNJcSUSzUeFm8W9P7UUlSeQ,The Viral Fever Videos,UUNJcSUSzUeFm8W9P7UUlSeQ,https://yt3.ggpht.com/-YXJx9IxofWg/AAAAAAAAAAI/AAAAAAAAAAA/X2iQbpe_z0U/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCNyeSfUfffmJXwA2_tmNG9A,Screen Patti,UUNyeSfUfffmJXwA2_tmNG9A,https://yt3.ggpht.com/-m_As9-vl8us/AAAAAAAAAAI/AAAAAAAAAAA/TECwXcM4wBs/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCqwUrj10mAEsqezcItqvwEw,BB Ki Vines,UUqwUrj10mAEsqezcItqvwEw,https://yt3.ggpht.com/-V7WGpnvPvtI/AAAAAAAAAAI/AAAAAAAAAAA/BI3_YxcidJs/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCdxbhKxr8pyWTx1ExCSmJRw,Girliyapa,UUdxbhKxr8pyWTx1ExCSmJRw,https://yt3.ggpht.com/--QWIyMMLzyE/AAAAAAAAAAI/AAAAAAAAAAA/KKcmGlgVNiE/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCTvfCN8JdnZflZK_9RygbXQ,Funda Curry,UUTvfCN8JdnZflZK_9RygbXQ,https://yt3.ggpht.com/-cIKu74AClBI/AAAAAAAAAAI/AAAAAAAAAAA/ZMu7AwgXg9g/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCTlnaHHQ75zlDg_fLr7tGEg,The Timeliners,UUTlnaHHQ75zlDg_fLr7tGEg,https://yt3.ggpht.com/-2lD_57lyIpo/AAAAAAAAAAI/AAAAAAAAAAA/ECEBFqF9QIc/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC7IMq6lLHbptAnSucW1pClA,Filter Copy,UU7IMq6lLHbptAnSucW1pClA,https://yt3.ggpht.com/-Jv2040X0ICU/AAAAAAAAAAI/AAAAAAAAAAA/J_5mwmIXc78/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCC89oVFqenaffhBoyqxd6qw,Dice Media,UUC89oVFqenaffhBoyqxd6qw,https://yt3.ggpht.com/-vWbkJ8KveMs/AAAAAAAAAAI/AAAAAAAAAAA/-FXuJq7igMg/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCx2HcmpB-UZGkMXOCJ4QIVA,ScoopWhoop,UUx2HcmpB-UZGkMXOCJ4QIVA,https://yt3.ggpht.com/-bEyMRyOuixI/AAAAAAAAAAI/AAAAAAAAAAA/u2GJ4TFa-aU/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UChAlpEbfW1y9auiBC08ZwGQ,Being Indian,UUhAlpEbfW1y9auiBC08ZwGQ,https://yt3.ggpht.com/-mg1OKiIdJHU/AAAAAAAAAAI/AAAAAAAAAAA/SYWXAcsn_t4/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCF-aIi0zXNwZZucGtWk4pug,Shudh Desi Endings,UUF-aIi0zXNwZZucGtWk4pug,https://yt3.ggpht.com/-Fna8TFj6sBM/AAAAAAAAAAI/AAAAAAAAAAA/daeLNprMY5s/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCTXElCuOYjDs5BS68ki_bpg,Web Talkies,UUTXElCuOYjDs5BS68ki_bpg,https://yt3.ggpht.com/-caex7YHqW2c/AAAAAAAAAAI/AAAAAAAAAAA/hcqzfPDfX94/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCj22tfcQrWG7EMEKS0qLeEg,CarryMinati,UUj22tfcQrWG7EMEKS0qLeEg,https://yt3.ggpht.com/-MczKppo_8TQ/AAAAAAAAAAI/AAAAAAAAAAA/MLb_qfmgpsE/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCpU9EZn1Ll9kPpSuBsn4VyA,East India Comedy,UUpU9EZn1Ll9kPpSuBsn4VyA,https://yt3.ggpht.com/-ck2LMbPX_fE/AAAAAAAAAAI/AAAAAAAAAAA/Au_D5F4yLcU/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCkS7Vxu4PjM99w0Is6idjcg,Zakir Khan,UUkS7Vxu4PjM99w0Is6idjcg,https://yt3.ggpht.com/-ZvRGq5SItxY/AAAAAAAAAAI/AAAAAAAAAAA/HgyRNfnnDm8/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCyOyIUC4bBPjNWkd5gG30TA,Biswa Kalyan Rath,UUyOyIUC4bBPjNWkd5gG30TA,https://yt3.ggpht.com/-NaQNnqERe-E/AAAAAAAAAAI/AAAAAAAAAAA/SxuVbaze3bQ/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCzFSSjhjB1L4M32DrzV3FHQ,Old Delhi Films,UUzFSSjhjB1L4M32DrzV3FHQ,https://yt3.ggpht.com/-10DLFnU4js0/AAAAAAAAAAI/AAAAAAAAAAA/zb8A1FzD0XQ/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UC5W8kZaY_u59fwgtjnLrBXA,Kanan Gill,UU5W8kZaY_u59fwgtjnLrBXA,https://yt3.ggpht.com/-MywEBopJg6g/AAAAAAAAAAI/AAAAAAAAAAA/5ex3mrV7jjw/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCzNq9i-DlDDBLjPerVzJW-A,Kenny Sebastian,UUzNq9i-DlDDBLjPerVzJW-A,https://yt3.ggpht.com/-sh_ncbmoSyo/AAAAAAAAAAI/AAAAAAAAAAA/1XAis4KrJ9c/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
UCtWoDeegvTPfuuNm_ilJntg,Abis Mathew,UUtWoDeegvTPfuuNm_ilJntg ,https://yt3.ggpht.com/-SSpmSUUgNcU/AAAAAAAAAAI/AAAAAAAAAAA/7JajM88DkSE/s300-c-k-no-mo-rj-c0xffffff/photo.jpg,null,null,null,null,null,null,null
